subid,condition,trial_num_full,m_correct,m_gaze_follow,rt,shift_start,shift_end,shift_correct,shift_type
021216_02,no-gaze,7_test,0.9067796610169492,0,0.3333333333333333,left,right,TRUE,image_away
021216_02,no-gaze,8_exposure,0.0761904761904762,0,0.36666666666666664,right,left,FALSE,target_distracter
021216_02,no-gaze,8_test,0.25,0,0.43333333333333335,left,right,FALSE,image_away
021616_01,no-gaze,1_exposure,0.2644628099173554,0,0.26666666666666666,left,right,FALSE,image_away
021616_01,no-gaze,1_test,0.4824561403508772,0,0.6333333333333333,right,left,TRUE,distracter_target
021616_01,no-gaze,10_exposure,0.4380952380952381,0,0.23333333333333334,left,right,TRUE,image_away
021616_01,no-gaze,10_test,0.8859649122807017,0,0.26666666666666666,left,right,FALSE,image_away
021616_01,no-gaze,11_exposure,0.44036697247706424,0,0.43333333333333335,left,right,FALSE,image_away
021616_01,no-gaze,11_test,0.6666666666666666,0,0.23333333333333334,left,right,TRUE,image_away
021616_01,no-gaze,14_exposure,0.14754098360655737,0,1.2333333333333334,face,right,FALSE,face_distracter
021616_01,no-gaze,14_test,0.375,0,0.7,face,left,TRUE,face_target
021616_01,no-gaze,15_exposure,0.5964912280701754,0,0.43333333333333335,right,left,TRUE,distracter_target
021616_01,no-gaze,15_test,1,0,NA,left,NA,NA,no_shift
021616_01,no-gaze,16_exposure,0.6637931034482759,0,0.26666666666666666,left,right,TRUE,image_away
021616_01,no-gaze,16_test,0.5213675213675214,0,0.23333333333333334,right,left,TRUE,distracter_target
021616_01,no-gaze,2_exposure,0.6779661016949152,0,1.1333333333333333,left,right,FALSE,image_away
021616_01,no-gaze,2_test,0.6504065040650406,0,0.26666666666666666,left,right,FALSE,image_away
021616_01,no-gaze,3_exposure,0.43478260869565216,0,0.6666666666666666,right,left,FALSE,target_distracter
021616_01,no-gaze,3_test,0.5752212389380531,0,0.2,left,right,TRUE,image_away
021616_01,no-gaze,4_exposure,0.3119266055045872,0,0.9333333333333333,left,right,TRUE,image_away
021616_01,no-gaze,4_test,0.7226890756302521,0,0.2,left,right,TRUE,image_away
021616_01,no-gaze,5_exposure,0.4789915966386555,0,0.23333333333333334,left,right,FALSE,image_away
021616_01,no-gaze,5_test,0.7345132743362832,0,0.3,left,right,TRUE,image_away
021616_01,no-gaze,6_exposure,0.3684210526315789,0,0.4666666666666667,right,left,FALSE,target_distracter
021616_01,no-gaze,6_test,0.8070175438596491,0,1.8333333333333333,right,face,FALSE,image_face
021616_01,no-gaze,7_exposure,0.5289256198347108,0,0.6333333333333333,left,right,FALSE,image_away
021616_01,no-gaze,7_test,0.7454545454545455,0,2.466666666666667,right,left,FALSE,target_distracter
021616_01,no-gaze,8_exposure,0.3333333333333333,0,0.23333333333333334,left,right,TRUE,image_away
021616_01,no-gaze,8_test,0.8245614035087719,0,0.16666666666666666,left,right,FALSE,image_away
021616_03,no-gaze,1_exposure,0.3103448275862069,0,0.16666666666666666,left,face,FALSE,image_away
021616_03,no-gaze,1_test,0.675,0,0.5666666666666667,face,left,TRUE,face_target
021616_03,no-gaze,10_exposure,0.4144144144144144,0,0.6333333333333333,face,left,FALSE,face_distracter
021616_03,no-gaze,10_test,0.4174757281553398,0,0.5666666666666667,face,left,TRUE,face_target
021616_03,no-gaze,11_exposure,0.3162393162393162,0,0.06666666666666667,left,face,FALSE,image_away
021616_03,no-gaze,11_test,0.5384615384615384,0,0.36666666666666664,face,left,FALSE,face_distracter
021616_03,no-gaze,14_exposure,0.4482758620689655,0,0.23333333333333334,face,left,TRUE,face_target
021616_03,no-gaze,14_test,0.46956521739130436,0,1.0666666666666667,left,right,FALSE,image_away
021616_03,no-gaze,15_exposure,0.1623931623931624,0,0.7333333333333333,face,left,TRUE,face_target
